ID,例文,質問内容,解答,,,,,,,,,,,
101,fopenのアベントモードとはファイルの中身を追加するときに使う関数です。ファイルが無ければ新設され、ファイルが有れば、ファイルの現在位置をファイルエンドに位置付ける。,fopenのアベントモードって何？,ファイルの中身を追加するときに使う関数です。ファイルが無ければ新設され、ファイルが有れば、ファイルの現在位置をファイルエンドに位置付ける。,,,,,,,,,,101,
102,空白はどのように使えばよいか。タブは使ってもよいかというとC言語においては、空白を書いていい所なら、いくつ空白を書くのもプログラマー の自由です。また、書かなくてよい場合に書かないのも自由です。例えば、カン マの前後に空白を置くかどうかは書く人の判断に任されています。これはプログ ラムの処理には何等影響を及ぼしません。,空白はどのように使えばよいか。タブは使ってもよいか。,C言語においては、空白を書いていい所なら、いくつ空白を書くのもプログラマー の自由です。また、書かなくてよい場合に書かないのも自由です。例えば、カン マの前後に空白を置くかどうかは書く人の判断に任されています。これはプログ ラムの処理には何等影響を及ぼしません。,,,,,,,,,,102,
103,インデントをどのような規則で付けたらよいのかというと基本的には、ある特別な条件においてのみ実行される箇所は、その外よりも一 段深く書く、という規則です,インデントをどのような規則で付けたらよいのかわからない。,基本的には、ある特別な条件においてのみ実行される箇所は、その外よりも一 段深く書く、という規則です,,,,,,,,,,103,
104,return (0); のようなコードを見た。なぜ括弧が必要なのかというと、括弧がある方が見やすいと主張する人もいますが、たいした根拠はありません。 括弧がない場合、うっかり retrun (0); と書いてしまった時に、全てのコンパイル が終了してリンクし終わる寸前に「 retrun という関数が定義されていない」というエラーが発生するまで気付かないかもし れません。たまたま retrun という名前の関数があったら、もっと面白いことになります。,return (0); のようなコードを見た。なぜ括弧が必要なのか。,括弧がある方が見やすいと主張する人もいますが、たいした根拠はありません。 括弧がない場合、うっかり retrun (0); と書いてしまった時に、全てのコンパイル が終了してリンクし終わる寸前に「 retrun という関数が定義されていない」というエラーが発生するまで気付かないかもし れません。たまたま retrun という名前の関数があったら、もっと面白いことになります。,,,,,,,,,,104,
105,goto は使ってはいけないのは、goto を使うと処理の流れが分かりにくくなることが多いからです。,goto は使ってはいけないのはなぜ？,goto を使うと処理の流れが分かりにくくなることが多いからです。,,,,,,,,,,105,
106,未定義とは、その結果どうなるかが、言語仕様として決められていないことを 意味します。そして、その結果がどうなっても、そのＣ言語の処理系はは規格に 合致しているとみなされます。コンパイラは未定義のコードを処理する時に独自 の解釈をしてもよいし、あるいは、不正なコードを生成して、実行した途端にシ ステムを停止させても構いません。コンパイル時にエラーにしても構いません。,未定義とは何か。不定と何が違うのか。,未定義とは、その結果どうなるかが、言語仕様として決められていないことを 意味します。そして、その結果がどうなっても、そのＣ言語の処理系はは規格に 合致しているとみなされます。コンパイラは未定義のコードを処理する時に独自 の解釈をしてもよいし、あるいは、不正なコードを生成して、実行した途端にシ ステムを停止させても構いません。コンパイル時にエラーにしても構いません。,,,,,,,,,,106,
107,前処理のことをプリプロセッシングとも呼びます。昔のC言語処理系は、まずソースコードをプ リプロセッサと呼ばれているプログラムにかけてからコンパイラを通す、という ように段階を経た処理を行うものが主流でした。このプリプロセッサが行う処理 が“前処理”に該当します。最近のコンパイラは、一度で前処理からコンパイル までを行うものが多くなりましたが、C言語の仕様の中に、前処理という段階が依 然として残っており、プログラマーは見かけ上は前処理があってその後コンパイ ル、という段階があるように意識してコーディングする必要があります。,前処理とは何か。,プリプロセッシングとも呼びます。昔のC言語処理系は、まずソースコードをプ リプロセッサと呼ばれているプログラムにかけてからコンパイラを通す、という ように段階を経た処理を行うものが主流でした。このプリプロセッサが行う処理 が“前処理”に該当します。最近のコンパイラは、一度で前処理からコンパイル までを行うものが多くなりましたが、C言語の仕様の中に、前処理という段階が依 然として残っており、プログラマーは見かけ上は前処理があってその後コンパイ ル、という段階があるように意識してコーディングする必要があります。,,,,,,,,,,107,
108,マルチステートメントのマクロの定義はどのようにして書けばよいかというと、単に複数の行に分けて書きたいというのであれば、行の最後に '\' を付ければ、前処理時に一行とみなされますから、見た目に複数行に書くという 目的は達成されます。しかし、ここで問題なのは、関数呼び出しと同じように使 えるマクロが欲しいということでしょう。,マルチステートメントのマクロの定義はどのようにして書けばよいか。,単に複数の行に分けて書きたいというのであれば、行の最後に '\' を付ければ、前処理時に一行とみなされますから、見た目に複数行に書くという 目的は達成されます。しかし、ここで問題なのは、関数呼び出しと同じように使 えるマクロが欲しいということでしょう。,,,,,,,,,,108,
109,"#include でファイルを読み込む場合に、ファイル名を """" で囲むのと <> で囲むのとでは、#include <ファイル名> の形式で指定した場合、このファイルは処理系によって定められた標準的なパス から検索されます。通常、これは/usr/includeなどのパスになっています。また、 コンパイラのオプションやカスタマイズファイルの定義によって、パスをユーザ ーが指定できる場合が殆どです。","#include でファイルを読み込む場合に、ファイル名を """" で囲むのと <> で囲むのとでは、何が違うのか。",#include <ファイル名> の形式で指定した場合、このファイルは処理系によって定められた標準的なパス から検索されます。通常、これは/usr/includeなどのパスになっています。また、 コンパイラのオプションやカスタマイズファイルの定義によって、パスをユーザ ーが指定できる場合が殆どです。,,,,,,,,,,109,
110,ヘッダーの中で、さらに別のヘッダーを #include することは、言語仕様としては、このようなネスティングは許されており、ANSIの仕様を満 たすためには、少なくとも8レベルのネスティングが可能でなければなりません。,ヘッダーの中で、さらに別のヘッダーを #include することはできるか。,言語仕様としては、このようなネスティングは許されており、ANSIの仕様を満 たすためには、少なくとも8レベルのネスティングが可能でなければなりません。,,,,,,,,,,110,
111,ASCII(American National Standard Code for Information Interchange)とい うのは、アメリカで用いられている標準規格の文字コードです。,ASCIIコードとは何か。,ASCII(American National Standard Code for Information Interchange)とい うのは、アメリカで用いられている標準規格の文字コードです。,,,,,,,,,,111,
112,改行コードとは、C言語では '\n' で表現される文字のことです。意味は「現表示位置を次の行の最初の位置に移動 する」(JISによる定義)です。,改行コードとは何か。,C言語では '\n' で表現される文字のことです。意味は「現表示位置を次の行の最初の位置に移動 する」(JISによる定義)です。,,,,,,,,,,112,
113,fopen のモードにテキストとバイナリがあるが、これらの違いは、の場合の方が考え方は単純で、書き込んだデータに含まれているあら ゆるコードがそっくりそのまま処理される、ということになります。,fopen のモードにテキストとバイナリがあるが、これらの違いは何か。,バイナリの場合の方が考え方は単純で、書き込んだデータに含まれているあら ゆるコードがそっくりそのまま処理される、ということになります。,,,,,,,,,,113,
114,あるファイルの最後をカットする処理が欲しいのだが、どの関数を使えばよい のか、不思議なことに、ファイルのサイズを縮小するための標準関数は用意されてい ません。つまり、この処理を一つの関数呼び出しで行うには、処理系依存の特別 に用意された関数を使うしかありません。,あるファイルの最後をカットする処理が欲しいのだが、どの関数を使えばよい のか分からない。,不思議なことに、ファイルのサイズを縮小するための標準関数は用意されてい ません。つまり、この処理を一つの関数呼び出しで行うには、処理系依存の特別 に用意された関数を使うしかありません。,,,,,,,,,,114,
115,ファイルの途中にある一行だけを変更したいとき、標準関数の中に、ファイルの途中の一部を書き換えて、長さまで変更するよう な機能を持ったものはありません。もし長さを変えずに済むのなら、ファイルを更新モードでオープンすれば、途 中の内容を変更することは可能です,ファイルの途中にある一行だけを変更したい。ファイル全体の長さが変わって しまうのだが、何かうまい方法はあるか。,標準関数の中に、ファイルの途中の一部を書き換えて、長さまで変更するよう な機能を持ったものはありません。もし長さを変えずに済むのなら、ファイルを更新モードでオープンすれば、途 中の内容を変更することは可能です,,,,,,,,,,115,
116,makeとは、C言語の一つの特徴に、プログラムをモジュール化して分割コンパイルし、最後 にリンクという処理で一つのプログラムを完成できるということがあります。モ ジュールに分割することによって、独立した処理を分離し、局所的な見通しをよ くしてバグの入り込む余地を減らす効果が見込めます。プログラムをこのようにして部分に分けると、ある一部を変更した場合に全て のファイルを再コンパイルしなくても、変更のあったファイルだけをコンパイル し直せばよいということが頻繁に起きます。この処理を手作業で行うのはばかげ ています。基本的な考え方としては、ソースファイルの変更時刻をチェックし、 前回コンパイルした時より後に更新されたファイルだけをコンパイルして、全体 をリンクし直せば、必要な作業は完了するはずです。この作業を自動的に行うプ ログラムがmakeと呼ばれているものです。,makeとは何か。,C言語の一つの特徴に、プログラムをモジュール化して分割コンパイルし、最後 にリンクという処理で一つのプログラムを完成できるということがあります。モ ジュールに分割することによって、独立した処理を分離し、局所的な見通しをよ くしてバグの入り込む余地を減らす効果が見込めます。プログラムをこのようにして部分に分けると、ある一部を変更した場合に全て のファイルを再コンパイルしなくても、変更のあったファイルだけをコンパイル し直せばよいということが頻繁に起きます。この処理を手作業で行うのはばかげ ています。基本的な考え方としては、ソースファイルの変更時刻をチェックし、 前回コンパイルした時より後に更新されたファイルだけをコンパイルして、全体 をリンクし直せば、必要な作業は完了するはずです。この作業を自動的に行うプ ログラムがmakeと呼ばれているものです。,,,,,,,,,,116,
117,大きな配列を使ったプログラムを動かそうとしたら、実行中に何の反応もなくなったようだ。配列をメモリのどこに確保しようとしたのでしょうか。自動変数の配列は、ス タックと呼ばれる、使い回しの効くエリアに確保されることがあります。この種 のメモリ獲得は、関数の呼び出し毎に行われるため、その関数が終了した時点で メモリは開放され、同じ領域を何度も別の用途に使うことができるというメリッ トがあります。ただ、この場合、スタックのサイズは意外と小さいことがあって、 しかも、あまりに大きな配列を獲得しようとしてスタックを全て使い尽くしてし まった場合に、一体何が起こるか分からないという欠点があります。スタックは 通常は十分な大きさを持っていますが、巨大な配列をスタック上に置くことはあ まり想定されていません。特に、多重の配列は、直感的にイメージするよりも大 量のメモリをあっという間に必要とすることを頭に入れておいてください。例え ば char a[100][100][100] を扱うために必要なメモリは、100×100×100バイトで、約0.95MBになります。,大きな配列を使ったプログラムを動かそうとしたら、実行中に何の反応もなく なったようだ。何が悪かったのだろうか。,配列をメモリのどこに確保しようとしたのでしょうか。自動変数の配列は、ス タックと呼ばれる、使い回しの効くエリアに確保されることがあります。この種 のメモリ獲得は、関数の呼び出し毎に行われるため、その関数が終了した時点で メモリは開放され、同じ領域を何度も別の用途に使うことができるというメリッ トがあります。ただ、この場合、スタックのサイズは意外と小さいことがあって、 しかも、あまりに大きな配列を獲得しようとしてスタックを全て使い尽くしてし まった場合に、一体何が起こるか分からないという欠点があります。スタックは 通常は十分な大きさを持っていますが、巨大な配列をスタック上に置くことはあ まり想定されていません。特に、多重の配列は、直感的にイメージするよりも大 量のメモリをあっという間に必要とすることを頭に入れておいてください。例え ば char a[100][100][100] を扱うために必要なメモリは、100×100×100バイトで、約0.95MBになります。,,,,,,,,,,117,
118,関数って何で作るのかというと、全てmain関数内に書くと可読性が悪くなるので機能ごとに関数を作って分けます。また、関数として作っておくと同じ処理を行うときに関数を呼び出すだけで使いまわすことが出来ます,関数って何で作るの？,全てmain関数内に書くと可読性が悪くなるので機能ごとに関数を作って分けます。また、関数として作っておくと同じ処理を行うときに関数を呼び出すだけで使いまわすことが出来ます,,,,,,,,,,118,
119,そもそも何でＣ言語を学ぶの？時代は○○（他の言語名）じゃないのかというと、C言語はメモリなどのハードウェアと密接な関わりがあるので、C言語を通してコンピュータの仕組み自体の理解につながります。また、IoTやOSなどのハードウェアを意識する必要がある分野では良く使われます。もう少しだけ頑張ってみましょう。,そもそも何でＣ言語を学ぶの？時代は○○（他の言語名）じゃないの？,C言語はメモリなどのハードウェアと密接な関わりがあるので、C言語を通してコンピュータの仕組み自体の理解につながります。また、IoTやOSなどのハードウェアを意識する必要がある分野では良く使われます。もう少しだけ頑張ってみましょう。,,,,,,,,,,119,
120,自宅のPCでC言語を書いて動かしてみようと思ったけど、どうすればいいのかというと、言語に限らずプログラミング言語を動かすためにはプログラミング環境が必要になります。プログラミング環境を自分のPCに設定するのは初心者には大変なので、手始めに行うのであれば「Wandbox」などのオンライン上でプログラミング環境を提供してくれるツールを使ってみるのがおススメです。,自宅のPCでC言語を書いて動かしてみようと思ったけど、どうすればいいですか？,C言語に限らずプログラミング言語を動かすためにはプログラミング環境が必要になります。プログラミング環境を自分のPCに設定するのは初心者には大変なので、手始めに行うのであれば「Wandbox」などのオンライン上でプログラミング環境を提供してくれるツールを使ってみるのがおススメです。,,,,,,,,,,120,
121,文字を表示するのに#include<stdio.h> って必要なのかというと、#include＝その位置にコピペ、stdio.h=ヘッダファイル。つまり、#include <stdio.h>はstdio.hというヘッダファイルの中身を#include<ファイル名>の位置にコピペしています。そして、#include <stdio.h>の中にはprintf関数やscanf関数などの関数定義を行っています。これがあるから、関数定義を書かずにprintf関数が使えるのです,何で文字を表示するのに#include<stdio.h> って必要なんですか？,#include＝その位置にコピペ、stdio.h=ヘッダファイル。つまり、#include <stdio.h>はstdio.hというヘッダファイルの中身を#include<ファイル名>の位置にコピペしています。そして、#include <stdio.h>の中にはprintf関数やscanf関数などの関数定義を行っています。これがあるから、関数定義を書かずにprintf関数が使えるのです,,,,,,,,,,121,
122,mallocに対するcallocのメリットは、calloc関数を使えば、構造体や共用体の内部に作られる“詰め物”のビットもすべて0になります。整数型オブジェクトの全ビットが0であれば、値も0である。しかし、値が0であるからといって全ビットが0であるという保証はありません。,mallocに対するcallocのメリットは何ですか,calloc関数を使えば、構造体や共用体の内部に作られる“詰め物”のビットもすべて0になります。整数型オブジェクトの全ビットが0であれば、値も0である。しかし、値が0であるからといって全ビットが0であるという保証はありません。,,,,,,,,,,122,
123,openという名前の関数を自作したらfopen関数が正常に動作しなくなった場合、fopen関数が、それとは別に定義さているopen関数を呼び出しています。処理系が独自に提供しているopen関数でなく、ユーザが作成したopen関数を呼び出してしまうと、矛盾が生じてしまいます。,openという名前の関数を自作したらfopen関数が正常に動作しなくなりました。,fopen関数が、それとは別に定義さているopen関数を呼び出しています。処理系が独自に提供しているopen関数でなく、ユーザが作成したopen関数を呼び出してしまうと、矛盾が生じてしまいます。,,,,,,,,,,123,
124,"実引数とは、f(a,b)のような関数を呼出し式において、a,bのような括弧で囲みコンマで区切った並びの中の式のことです",実引数ってなんですか,"例えばf(a,b)のような関数を呼出し式において、a,bのような括弧で囲みコンマで区切った並びの中の式のことです",,,,,,,,,,124,
125,"仮引数とは、例えばint f(int x, int y)のような関数宣言あるいは関数定義の一部として宣言され、関数に入る時点で値を得るオブジェクトのことです",仮引数ってなんですか,"例えばint f(int x, int y)のような関数宣言あるいは関数定義の一部として宣言され、関数に入る時点で値を得るオブジェクトのことです",,,,,,,,,,125,
126,オブジェクトとは、値を表現することができる実行環境中の記憶域の領域のことです,オブジェクトとは何ですか。,値を表現することができる実行環境中の記憶域の領域のことです,,,,,,,,,,126,
127,NULLとは、すべてのビットが0である文字です。8進型拡張表記を用いて表すと\0です。,NULLとはなんですか,すべてのビットが0である文字です。8進型拡張表記を用いて表すと\0です。,,,,,,,,,,127,
128,整数値の平均を実数で求めようとしてもうまくいかないとき、int型の整数である変数2つをdouble型である浮動小数点型の変数に代入した場合、(整数 + 整数) / 整数になるためうまくうまくできません。平均値を実数値として得たいのであれば、/による除算自体をdouble型の結果が得られるものとしなければなりません。例えば” ave = (double)(x + y) / 2; ”だと解決できます。,整数値の平均を実数で求めようとしてもうまくいかないです,int型の整数である変数2つをdouble型である浮動小数点型の変数に代入した場合、(整数 + 整数) / 整数になるためうまくうまくできません。平均値を実数値として得たいのであれば、/による除算自体をdouble型の結果が得られるものとしなければなりません。例えば” ave = (double)(x + y) / 2; ”だと解決できます。,,,,,,,,,,128,
129,"拡張表記は、逆斜線文字\に続く一つ以上の文字による、特別な文字表記です。”\n”で改行、""\t""で水平タブ位置に移動できます。",拡張表記とは何ですか。,"拡張表記は、逆斜線文字\に続く一つ以上の文字による、特別な文字表記です。”\n”で改行、""\t""で水平タブ位置に移動できます。",,,,,,,,,,129,
130,文字列とはとは、最初のNULL文字で終わり，かつそれを含む連続した文字の列を文字列（string）といいます。,文字列とは何ですか。,最初のNULL文字で終わり，かつそれを含む連続した文字の列を文字列（string）といいます。,,,,,,,,,,130,
131,Charを連結させたいがstrcatがうまく動かない場合、変数を初期化していなかったり、代入の仕方が原因だったりします。,Charを連結させたいがstrcatがうまく動きません,初期化していなかったり、代入の仕方が原因だったりします。,,,,,,,,,,131,
132,"演算した結果を整数、小数ともに表示させたいときは、printf(""整数は%d,小数は%f"",'変数','変数')で記述してみてください。",演算した結果を整数、小数ともに表示させたいです。,"printf(""整数は%d,小数は%f"",'変数','変数')で記述してみてください。",,,,,,,,,,132,
133,数字を出したいが出ないときは、変数を宣言しているか確かめてみましょう。,数字を出したいが出ない,変数を宣言しているか確かめてみましょう。,,,,,,,,,,133,
134,"printf(""%d/%d"",x,y);と書いても割り算されないときは、dのような書式指定子のみで演算はできません。printf内で演算するなばコンマ（ , ）で区切られた後の変数で行います。printf(""%d"",x/y);のように記述します。","printf(""%d/%d"",x,y);と書いても割り算されません","%dのような書式指定子のみで演算はできません。printf内で演算するなばコンマ（ , ）で区切られた後の変数で行います。printf(""%d"",x/y);のように記述します。",,,,,,,,,,134,
135,2つ目のfor文にエラーが出ときひとつ目のfor文を見直してください。' } 'が足りなかったり、’ ; 'が無かったりしていませんか？,2つ目のfor文にエラーが出ます。,ひとつ目のfor文を見直してください。' } 'が足りなかったり、’ ; 'が無かったりしていませんか？,,,,,,,,,,135,
136,構造体の変数がエラーになるときは、構造体の変数では宣言するように'int 変数名'が必要です。,構造体の変数がエラーになります,構造体の変数では宣言するように'int 変数名'が必要です。,,,,,,,,,,136,
137,"構造体を使用したいといは、無名の構造体に「point」という名前を付けます。構造体はintやdoubleと同様に、変数宣言時の型名として使用します。例えばpoint p;と宣言します。構造体の変数の後ろ」にどっと演算子(.)をつけてメンバ変数名を書くことで、それぞれのメンバ変数の値を参照したり、代入ができる。例えば構造体に変数x,yがあるとすると、p.x=2;,p.y=4;となる。",構造体を使用したい,"無名の構造体に「point」という名前を付けます。構造体はintやdoubleと同様に、変数宣言時の型名として使用します。例えばpoint p;と宣言します。構造体の変数の後ろ」にどっと演算子(.)をつけてメンバ変数名を書くことで、それぞれのメンバ変数の値を参照したり、代入ができる。例えば構造体に変数x,yがあるとすると、p.x=2;,p.y=4;となる。",,,,,,,,,,137,
138,構造体の値を初期化する時は、代入演算子＝のあとに、波括弧でくくって、宣言されている変数の初期化をコンマ区切りで書いていきます。,構造体を初期化したい,構造体の値を初期化する時は、代入演算子＝のあとに、波括弧でくくって、宣言されている変数の初期化をコンマ区切りで書いていきます。,,,,,,,,,,138,
139,構造体のコピーを渡したいときは、「ポインタ渡し」を使います。引数として渡す変数の頭に「&」(アンパサイド）をつけ、引数の型名の後ろに「*」（アスタリスク）を書くとポインタ渡しになります。,構造体のコピーを渡したい,「ポインタ渡し」を使います。引数として渡す変数の頭に「&」(アンパサイド）をつけ、引数の型名の後ろに「*」（アスタリスク）を書くとポインタ渡しになります。,,,,,,,,,,139,
140,単精度の実数とは、実数表現において4バイト／32ビットで実数を表現する方法を単精度と言います。,単精度の実数とはなんですか？,実数表現において4バイト／32ビットで実数を表現する方法を単精度と言います。,,,,,,,,,,140,
141,単精度の実数はどうやって扱うのかというと、float型を使います。倍精度のdouble型よりもサイズが小さいため、メモリを抑えたいときに使います。,単精度の実数はどうやって扱うのですか？,float型を使います。倍精度のdouble型よりもサイズが小さいため、メモリを抑えたいときに使います。,,,,,,,,,,141,
142,倍精度の実数とは、単精度の2倍のビット数（64ビット）を用いて実数を表現したものを倍精度と言います。 構文は float n; のようになります。,倍精度の実数とはなんですか？, 単精度の2倍のビット数（64ビット）を用いて実数を表現したものを倍精度と言います。 構文は　float n;　のようになります。,,,,,,,,,,142,
143,倍精度の実数はどうやって扱うのかというと、double型を使います。構文は double n; のようになります。,倍精度の実数はどうやって扱うのですか？,double型を使います。構文は　double n;　のようになります。,,,,,,,,,,143,
144,予約語とはプログラム中で自由に利用できない識別名のことを言います。例えば、int という単語が予約語だとすると、int という名前 を変数名や関数名として利用できないということです。,予約語とはなんですか？,プ ログラム中で自由に利用できない識別名のことを言います。例えば、int という単語が予約語だとすると、int という名前 を変数名や関数名として利用できないということです。,,,,,,,,,,144,
145,"予約語はどんなものがあるのかというと、auto,break,case,char,const,continue,default,do,double,else,enum,extern,float,for,goto,if,int,long,register,return,signed,sizeof,short,static,struct,switch,typedef,union,unsigned,void,volatile,while（アルファベット順）があります。",予約語はどんなものがありますか？,"auto,break,case,char,const,continue,default,do,double,else,enum,extern,float,for,goto,if,int,long,register,return,signed,sizeof,short,static,struct,switch,typedef,union,unsigned,void,volatile,while（アルファベット順）があります。",,,,,,,,,,145,
146,真偽を判定するものを扱いたいときは、bool型を扱います。変数の定義と初期化は bool b=fales;のようになります。,真偽を判定するものを扱いたいです,bool型を扱います。変数の定義と初期化は bool b=fales;のようになります。,,,,,,,,,,146,
147,ポインタとは、コンピュータプログラミングにおいて、変数や関数などが置かれたメインメモリ上の番地などを格納する特殊な変数のことです。あるオブジェクトがなんらかの論理的位置情報に基づいてアクセスできるとき、それを参照します。,ポインタとはなんですか？,コンピュータプログラミングにおいて、変数や関数などが置かれたメインメモリ上の番地などを格納する特殊な変数のことです。あるオブジェクトがなんらかの論理的位置情報に基づいてアクセスできるとき、それを参照します。,,,,,,,,,,147,
148,ポインタはどういう場面で使うのかというと、ポインタを使うことで、アドレス先の値を取得したり、変更することができます。例えば、関数の引数でポインタを使って参照渡しを行うと、複数の変数を1つの関数で処理変更できるようになります。,ポインタはどういう場面で使いますか？,ポインタを使うことで、アドレス先の値を取得したり、変更することができます。例えば、関数の引数でポインタを使って参照渡しを行うと、複数の変数を1つの関数で処理変更できるようになります。,,,,,,,,,,148,
149,ポインタはどうやって扱うのかというと、int型などのポインタを定義する場合は、型名に「*」（アスタリスク）を付けます。変数や構造体からポインタを得るときは、&演算子を使います。逆にポインタの示すメモリの値を取得する場合は、*演算子を使います。,ポインタはどうやって扱うのですか？,int型などのポインタを定義する場合は、型名に「*」（アスタリスク）を付けます。変数や構造体からポインタを得るときは、&演算子を使います。逆にポインタの示すメモリの値を取得する場合は、*演算子を使います。,,,,,,,,,,149,
150,配列とは、一つの変数の中に、複数の値を入れることが出来るものです。,配列とは何ですか？,一つの変数の中に、複数の値を入れることが出来るものです。,,,,,,,,,,150,
151,"配列の定義構文（宣言）はどんなのかよいうと、配列では、[]演算子と添え字と呼ばれる数値で、配列内のデータにアクセスすることもできます。int型の配列を定義擦る構文は int n[100]; になります。文字列で初期化する場合は char str[]=""Hello"";",配列の定義構文（宣言）はどんなのですか？,"配列では、[]演算子と添え字と呼ばれる数値で、配列内のデータにアクセスすることもできます。int型の配列を定義擦る構文は int n[100]; になります。文字列で初期化する場合は char str[]=""Hello"";",,,,,,,,,,151,
152,"配列はどうやって扱うのかというと、例えば、int test[5];のように宣言し、test[0]=80; test[1]=90...test[4]=60;と各配列に値を代入します。その後 for(int i=0;i<5;i++){print(""%d"",test[i]);}とfor文を使うと各要素んパ体を出力します。",配列はどうやって扱うのですか？,"例えば、int test[5];のように宣言し、test[0]=80; test[1]=90...test[4]=60;と各配列に値を代入します。その後 for(int i=0;i<5;i++){print(""%d"",test[i]);}とfor文を使うと各要素んパ体を出力します。",,,,,,,,,,152,
153,配列の初歩的なミスは何かというと、宣言する際の[]演算子の値は要素の数の勘違いです。例えば、 int n[5] だと5つ入っていることになりますが、配列の添え字は0から始まっているため値を代入する際 n[1]~n[5]ではなく、 n[0]~n[4] となります。,配列の初歩的なミスは何ですか？,宣言する際の[]演算子の値は要素の数の勘違いです。例えば、 int n[5] だと5つ入っていることになりますが、配列の添え字は0から始まっているため値を代入する際 n[1]~n[5]ではなく、 n[0]~n[4] となります。,,,,,,,,,,153,
154,配列と同様に連続したメモリが確保されるので、ポインタを使って連続的にアクセスできます。三次元を扱う際は int xyz[10][10][10] のように宣言します。,2次元以上の配列を教えてください。,配列と同様に連続したメモリが確保されるので、ポインタを使って連続的にアクセスできます。三次元を扱う際は int xyz[10][10][10] のように宣言します。,,,,,,,,,,154,
155,日付と時刻を扱うにはDateTimeオブジェクトを使います。,日付と時刻を扱うには,DateTimeオブジェクトを使います。,,,,,,,,,,155,
156,日付と時刻を文字列にするには、DateTimeの日付時刻の値は、ToXxxYyyString（）を使うことで、様々な形で表示することができます。例えば長い日付表現はLongDateStringとなります。,日付と時刻を文字列にするには,DateTimeの日付時刻の値は、ToXxxYyyString（）を使うことで、様々な形で表示することができます。例えば長い日付表現はLongDateStringとなります。,,,,,,,,,,156,
157,"現在の時刻を取得するには、時刻表示はtime_t型（中身はunsigned long型）の変数とstruct tm構造体を使って取得できます。
 そのままの時刻を取り出すとグリニッジ標準時となってしまう為、localtime関数を使って現地時刻に変換します。
 具体的に言うと、日本の場合グリニッジ標準時に+9時間したものが現地時間となります。これをlocaltime関数がやってくれます。
 time_t型、tm構造体、localtime関数を利用するには、time.hをインクルードします。",現在の時刻を取得するには,"時刻表示はtime_t型（中身はunsigned long型）の変数とstruct tm構造体を使って取得できます。
そのままの時刻を取り出すとグリニッジ標準時となってしまう為、localtime関数を使って現地時刻に変換します。
具体的に言うと、日本の場合グリニッジ標準時に+9時間したものが現地時間となります。これをlocaltime関数がやってくれます。
time_t型、tm構造体、localtime関数を利用するには、time.hをインクルードします。",,,,,,,,,,157,
158,staticとは、変数やメソッドが静的（スタティック）であることを示します。,staticとは何ですか？,変数やメソッドが静的（スタティック）であることを示します。,,,,,,,,,,158,
159,voidとは、関数の型として指定した時には、市の関数が戻り値を返さないことを意味します。関数の引数リストにvoidを指定すると、その関数には引数（パラメータ）が無いことを意味します。,voidとは何ですか？,関数の型として指定した時には、市の関数が戻り値を返さないことを意味します。関数の引数リストにvoidを指定すると、その関数には引数（パラメータ）が無いことを意味します。,,,,,,,,,,159,
160,"制御の流れを中断したいときは、do while,for,switchを中断するbreakがあります。またswitchの中のブロックである終了する時にも使います。",制御の流れを中断したい,"do while,for,switchを中断するbreakがあります。またswitchの中のブロックである終了する時にも使います。",,,,,,,,,,160,
161,コメントの書き方はCでは/* */を使って記述しますが，最新のCでは// という表記を使ってコメントを記述することもできます。,コメントの書き方教えて,Cでは/* */を使って記述しますが，最新のCでは// という表記を使ってコメントを記述することもできます。,,,,,,,,,,161,
162,条件によって応じて実行するコードを選択したいときは、caseを使います。switch文ステートメントの中で使い、条件に応じて実行するコードを切り替えます。,条件によって応じて実行するコードを選択したい,caseを使います。switch文ステートメントの中で使い、条件に応じて実行するコードを切り替えます。,,,,,,,,,,162,
163,printfでの文字の変換仕様は%cを使います。,printfでの文字の変換仕様は？,%cを使います。,,,,,,,,,,163,
164,ステートメントとは、一つ一つの手続きや命令、宣言などのことをステートメントあるいは「文」という。,ステートメントって何ですか？,一つ一つの手続きや命令、宣言などのことをステートメントあるいは「文」という。,,,,,,,,,,164,
165,ブロックとは、複数のステートメントを一つの文のように扱えるようまとめたものをブロックあるいは複文という。,ブロックとは何ですか？,複数のステートメントを一つの文のように扱えるようまとめたものをブロックあるいは複文という。,,,,,,,,,,165,
166,printfでの整数の変換仕様は%dを使います。,printfでの整数の変換仕様は？,%dを使います。,,,,,,,,,,166,
167,printfでの小数の変換仕様は%fを使います。,printfでの小数の変換仕様は？,%fを使います。,,,,,,,,,,167,
168,8進数の表記は数値の先頭にOをつけます。,8進数の表記は？,数値の先頭にOをつけます。,,,,,,,,,,168,
169,16進数の表記は数値の先頭にOxをつけます。,16進数の表記は？,数値の先頭にOxをつけます。,,,,,,,,,,169,
170,変数とはメモリを利用して値を記憶する仕組みのことです。,変数とは？,メモリを利用して値を記憶する仕組みのことです。,,,,,,,,,,170,
171,識別子とは変数の名前として使える文字や数字の組み合わせのことです。ただし，識別子に使える文字には規制があります。,識別子とは？,変数の名前として使える文字や数字の組み合わせのことです。ただし，識別子に使える文字には規制があります。,,,,,,,,,,171,
172,型（データ型）とは変数に記憶させる値の種類です。,型（データ型）とは？,変数に記憶させる値の種類です。,,,,,,,,,,172,
